source_sentences;gold_sentences;predicted_sentences;prometheus_score;GPT_score;user_score
Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.;E se l’occhio è una parte nobile del corpo umano, allora il saluto è una parte nobile della lettera, che illumina l’intero testo come l’occhio illumina l’uomo.;Se l'occhio è un nostro membro del corpo del uomo, quindi la salutazione è una nostra parte della pistola, c' altress allumina tutta la lettera come l'occhio allumina l'uomo.;1;0;0
Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.;I Tarantini, nati dai lacedemoni, avevano fondato la loro nobile città greca.;Tarentini, i quali erano nati di quelli di Lacedemonia et facta da lloro nobile cittade de' Greci.;1;0;0
Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.;Ulecois ebbe un uomo ricco e nobile: si chiamava Orgentore.;Ulecois, ebe un uomo rico e nobile: Orgentore fu chiamato per nome.;1;0;0
però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia;Perché se è una cosa alta e nobile abbattere il nemico, è altrettanto lodevole saper mostrare misericordia.;: per che, sse nobile cosa e alto è abatte il negozio, ampoi nonn è meno laudabile sapere avere misiricordia;1;0;0
Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.;Alessandro, cioè suo genero e figlio, fu ucciso in un luogo stretto e privo di difese mentre stava con Pausonia, giovane nobile di Macedonia.;Alexandri, ci è il genere e il figlio, da Phanonia, gentile giovane di Macedonia, stavo in un luogo strecto sana guardia, fu morto.;3;0;0
Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.;C’è chi è ricco e nobile, ma si lamenta di voler un’altra moglie al posto di quella che ha.;Alcuno è ricco e gentile, ma lamentasi che vorebbe avere una moglie più gentile di quella che ha.;3;0;0
Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia;A Pietro, mostrata in figura la gente pagana, fu detto: “Uccidi e mangia.”;: Pietro, che avevo mostrato il Gentile, è stato detto: ammazza, e mangia.;3;0;0
pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.;Gli chiese di essere liberato da quell’obbligo che gli era stato imposto. Il nobile uomo acconsentì, lo liberò, e ne redasse un documento.;pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. Il gentile uomo assens, e liberollo, e fece una carta.;3;0;0
L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia;L’oro verrà dal Settentrione. Cosa rappresenta il Settentrione se non il popolo pagano, congelato dal freddo del peccato, che fu tenuto sotto il giogo della sua tirannia?;: L'oro va dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il quale populo tenne sotto il giogo della sua tirannia;5;0;0
sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.;Sia in mezzo tra me e te: con noi non puoi più rimanere a lungo, perché io non lo permetterò e non lo tollererò oltre.;sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, che io non lo sofferr e non lo lascer.;1;0;0
